class_label,document
none,gold futures score first gain in six sessions
negative,Gold slips on firmer dollar; seen range-bound
negative,"gold slides 4%, near 3-year low as wall street rallies"
negative,"gold extends drop after gdp, jobless claims data"
positive,mcx gold december contract gains 1.5%
neutral,gold prices steady; traders seek direction
positive,"June gold gains $1.20, or 0.1%, to $1,293.10/oz"
negative,"Gold, silver slip on profit booking"
positive,"charts : stocks & gold jump as real routed, dollar dumped"
negative,"gold loses rs 155, silver sheds rs 700 on weak global cues"
positive,gold up after fed's rate decision
negative,"gold extends losses to $1,247.30 following fed minutes"
negative,Spot Gold rates trading lower
none,Timmins Gold upgraded to sector perform from underperform at RBC Capital
positive,april gold climbs $2.40 to $659.70/oz in morning trading
negative,gold down modestly; silver at 30-month high
positive,gold futures end with weekly roughly 0.6% higher
positive,"peru's january gold, silver output rises"
positive,"gold futures edge up, hold below $1,730"
neutral,gold little changed after u.s. unemployment data
positive,"gold glitters on global cues, silver zooms"
negative,gold prices weighed down by tax reform uncertainty
positive,"August gold climbs $4.40, or 0.4%, to settle at $1,219.10/oz"
positive,gold futures close at highest level since february
negative,Gold books largest daily decline in 2 weeks
negative,august gold falls $2.30 to close at $662.10/oz
none,citigroup bullish 2018 gold price outlook
positive,april gold futures jump 2.9% to settle at $1.265 an ounce
negative,gold futures close almost $13 lower
negative,"august gold settles down $2.70, or 0.2%, at $1,223/oz."
positive,Gold inches up ahead of Fed policy statement
negative,"dec. gold falls $4.70, or 0.4%, to settle at $1,328/oz"
negative,"Gold falls in UK as investors weigh Cyprus, Fed statement"
none,Mnuchin viewed the solar eclipse atop $200 billion of Fort Knox gold
positive,"Gold down for the month, but gains for the first half of the year"
negative,Gold settles lower as the dollar slumps in Black Friday trade
negative,"Dec. gold down $13.70, or 1%, to settle at $1,330.40/oz"
negative,gold struggles as dollar firms ahead of us jobs data
positive,Gold posts highest finish in 7 months as havens find support
positive,"gold rally to resume, say analysts"
neutral,gold to trade in 28776-29278: achiievers equities
negative,"Gold ends sharply lower on selling pressure, but logs weekly advance"
none,experts tell you how gold and copper are poised for today
none,"here's how you should play natural gas, crude and gold"
none,why gold is a better bet than oil
positive,Gold prices settle at a two and a half week high
none,buy mcx gold dec around rs 30850; target rs 31040: geojit
positive,"Gold futures up at at Rs 30,188 per 10 gm"
negative,gold falls after bush urges quick action on rescue plan
none,gold futures close $16 at $646 an ounce
positive,"December gold up 0.2% at $1,307.10/oz."
neutral,gold may trade in rs 29550-29850 range today: nirmal bang
neutral,Gold stays strong despite volatility
positive,gold funds shine in down week
positive,Gold prices to trade higher: Angel Commodities
none,"i really like stocks, gold has seen its worst: gartman"
negative,gold down after successful portuguese bond-selling
positive,gold books its first gain in 6 sessions as dollar falls
negative,"Gold edges down to Rs 30,475; silver plunges by Rs 400/kg"
positive,"gold futures close higher as dollar slips, oil gains"
negative,Gold ends at a more-than-2-week low as risky assets draw demand
positive,"Gold ends lower, but books best weekly gain since July"
positive,"dec. gold last up $7.80, or 1%, at $770 in electronic trade"
positive,"Feb. gold edges up by 30 cents to settle at $1,299.20/oz"
positive,gold logs best one-day gain since late october
positive,"December gold up 0.2% at $1,267.60/oz."
negative,gold stocks down ahead of holiday
positive,"gold ends up for the week, but down for the month"
none,BSF seizes gold in West Bengal
positive,"gold settles lower for the week, gains for the quarter"
negative,Gold futures end 1.2% lower for the week
positive,charts : gold rises on chart-based buying
positive,"dec gold closes at $467.70/brl, up 20c to mark 4-day win"
negative,Gold wallows near 3-1/2-month low with all eyes on U.S. jobs data
positive,gold rebounds from three-week low to settle higher
negative,gold ends at lowest level since year's start
negative,"Gold prices down at Rs 29,425; silver drops to Rs 40,125"
none,gold bulls can expect more bad luck
positive,Gold prices extend gains on renewed U.S.-North Korea anxiety
positive,gold futures score highest settlement in three weeks
negative,"December gold down 0.2% at $1,289.80/oz."
positive,Gold edges up from the settlement price after release of Fed Beige Book
none,"best year in 4 for diwali gold sales, etfs also in focus"
none,is gold's rally over?
positive,gold/silver ratio signals massive silver rally
positive,gold at 3-week high as dollar struggles amid us rate outlook
negative,"gold falls to one-month low on dollar, tumbling oil"
negative,"gold futures down $1.90 at $1,048.70"
positive,"gold prices gain after hsbc china flash pmi, but copper lags"
positive,"june gold climbs 80 cents, or less than 0.1%, to settle at $1,253.60/oz"
negative,Gold prices to trade lower today: Angel Commodities
negative,"MCX Gold, Silver may decline today: Kotak Commodity"
negative,"dec. gold falls $3.60 yo $1,177.50/oz on globex"
positive,"crude, gold stay up after jobless claims"
none,"Change in import duty on gold, silver 'muted'"
positive,gold climbs to log highest close in over two weeks
positive,Gold recovers on fresh demand; silver marginally up
positive,"Gold higher, but gains limited by strong dollar"
positive,gold jumps to record high on weak dollar; silver surges
positive,Gold settles 0.3% higher as dollar slips
negative,gold dips on robust u.s. durable goods orders
positive,"Gold prices log highest finish since mid-June, up 1.1% for the week"
negative,"feb. gold drops $21.40, or 3.4%, to $605/oz in ny"
none,sold on gold
positive,gold and energy weigh on bay street
none,"lbma : industry insiders bullish on gold, forecast of $1585 (radio)"
positive,gold closes higher to recoup some recent losses
positive,"gold, silver move higher in morning trade"
negative,"gold, silver slump on subdued demand, weak global sentiment"
none,wealth management : the $200 trillion gold rush that has reshaped private banking
negative,"Gold, silver, platinum at multi-year low on robust dollar, Fed view"
positive,"Gold hits 6-yr high of Rs 32,625/per 10 grams this week"
positive,after-close gold inches higher after fed minutes
none,state bank of india announces launch of revamped gold deposit scheme
negative,gold turns slightly lower after better-than-expected adp report
negative,"Gold futures fall more than 1% for the week, down a second week in a row"
negative,gold futures dull; mining shares edge up
positive,"gold prices set to touch rs 20,000 per 10 gram by diwali"
positive,gold gives up gains as ecb's draghi speaks
positive,"december gold rises to intraday high of $1,300/oz"
negative,gold futures finish lower after two-session rise
positive,"Gold recovers modestly, silver slips"
positive,"gold ends 0.3% higher at $1,235.40 an ounce"
positive,gold futures gain 0.54% on global cues
positive,"gold futures turn higher year to date, up 0.3%"
negative,gold settles at five-week low as fed comments feed interest-rate hike expectations
none,denver gold forum : where does gold go from here?
neutral,Gold holds in narrow range as dollar takes breather
negative,"Profit-booking pulls gold futures down to Rs 29,560"
negative,"manappuram, muthoot crash 8-10% on falling gold prices"
negative,gold imports fall 16% in october
negative,Gold slips for 6th straight session
none,newmont mining sees temporary decline in equity gold sales
none,barrick gold sees 2005 gold production 5.4m-5.5m
none,"imf: turkey, russia, korea boosted gold reserves"
negative,"Gold, silver lower ahead of U.S. jobless claims, CPI data"
positive,"gold recaptures $1,400 mark, silver rises 2%"
neutral,gold sees steady trading session
positive,gold futures close at a more than 1-week high
positive,"gold prices gain in asia on demand from india, china"
positive,"Gold rings up fresh 7-week high, but loses grip on $1,200 level"
negative,"Gold maintains brutal losses after economic data, off 2.9% at $1,130.40/oz."
negative,"dec. gold trades at $1,346.20/oz, down from $1,348.80 settlement"
none,Banks to sell gold coins minted by MMTC
negative,"gold prices decline further, silver recovers"
positive,Gold remains near 14-week high after disappointing ISM report
positive,Gold prices to trade higher today: Angel Commodities
negative,"gold futures down 0.13% on weak global cues, profit-booking"
positive,"Gold edges higher as traders monitor Gaza, Ukraine conflicts"
none,"mining bitcoin is 3 times more expensive than mining gold, research paper finds"
positive,"dec. gold climbs $7, or 0.6%, to settle at $1,290/oz"
positive,gold futures up $3.00 at $956.10 an ounce
negative,"gold slips from &#36;1,300 on profit-taking ahead of ecb"
positive,"Gold gains as Iraq violence continues, U.S. data weigh"
negative,gold takes cues from stronger dollar to finish lower
negative,"Gold, silver extend losses on Fed taper outlook"
negative,"Gold futures edge down to Rs 31,446"
negative,"gold prices rise, but end lower for the week"
neutral,"gold steady on subdued stocks, set for second weekly gain"
positive,Gold futures log highest finish since Nov. 10
negative,Gold prices down a fourth-straight session
positive,gold soars to fresh closing record
positive,gold soars as egypt protests prompt safety buying
none,northern ireland : gold firm submits plans for its '$1bn' county tyrone mine
positive,gold climbs to 1-week high after yellen's speech
negative,"gold drops as traders await fed, dollar rises"
none,why gold stocks were on fire today
negative,charts : gold - bearish pattern appears - time for cut & reverse strategy!
none,uae vendors hope for tax relief on gold following drop in sales
positive,Gold prices trade solidly higher as U.S. dollar index marks session lows
negative,Gold prices fall in Asia on downbeat reaction to Yellen remark
none,World gold council: India demand down 28% in Q3 on high prices
positive,gold ends higher as investors hope for stimulus
none,RSBL new gold contract targets exporters
none,gold rate per gram: check out current gold price per gram
negative,Gold futures suffer a weekly loss of 1.3%
negative,spot gold down 20 cents at $950.90/barrel
negative,Gold prices log biggest one-session drop since July 7
negative,gold futures turn lower in late morning trading
negative,amex gold bugs index ends lower at 308.37 after 315.4 high
none,gold bulls and bears debate outlook
positive,"gold prices rebound on global cues to rs 26,445"
positive,gold rises on safe-haven buying as global stocks slump
positive,"Gold bounces back above $1,100/oz"
positive,"gold peaks above $728, ends at 16-month high"
none,customs seize 174 kg gold during apr-feb: p chidambaram
negative,Gold extends early losses after ADP employment report
none,"Gold struggles below $1,200 on strong equities; Fed meet eyed"
negative,"gold falls on weak global cues, silver declines by rs 200"
positive,Gold prices rise from Comex settlement after Fed statement
none,google's chrome strikes market share gold
positive,Gold heads for first weekly gain in three as Fed signal hurts dollar
positive,"Gold jumps to Rs 31,460 on global cues, spot demand"
positive,"gold rises on weaker dollar, inflation concerns"
none,Next subscription for sovereign gold bonds to begin from Nov 13
negative,Gold futures mark lowest finish since mid-March
negative,gold dips as market braces for fed's policy statement
negative,"gold futures down $3.40 at $1,139.50 an ounce"
none,cftc : money managers left gold shorts at a record pace
negative,"Gold off $3.30, or 0.3%, at $1,222.20/oz., was trading flat ahead of data"
positive,Gold gains 3% in 4 sessions as global tensions drive 'haven' demand
positive,high gold prices fail to deter buyers ahead of festive season
positive,"dec gold closes at $478/oz, up 30c after $479.60 high"
positive,philadelphia gold/silver index up 0.4% to end at 106.24
negative,"gold ends with a loss, prices suffer weekly drop of 2.5%"
positive,"silver gains rs 350 on global cues, gold ends flat"
positive,gold futures climb on weak gdp
negative,gold falls 1% as ukraine tensions ease
none,is it time to give up on gold?
positive,gold nudges up as dollar eases; palladium holds near multi-year peaks
negative,"Gold prices edge higher for the session, but end the week lower"
positive,"gold market climbs after economic, financial data"
negative,gold marks four-session losing streak
none,"at what levels does dani comm suggest a buy on gold, crude?"
negative,gold falls for second straight day on signs of global slowdown
none,ray dalio said last year gold was good protection because of trump and north korea 'playing chicken'
neutral,"gold little changed amid firmer equities, weaker dollar"
negative,"gold futures drop sharply, as dollar gains"
none,gold vs silver ratio
positive,Gold dips on profit-taking after touching 7-week high
positive,"gold edges up, hovers near 1-year high on haven demand"
negative,"gold, silver futures down sharply after end of fed qe"
negative,"Gold futures fall to Rs 31,330 on weak global cues"
positive,feb gold up $5.10 at $442.40/oz in midday trade
negative,"December gold down 1% at $1,289.40/oz."
negative,gold futures soften on weak global cues
positive,gold takes a breather; can test usd 1522/ounce: sharekhan
positive,mcx gold june contract firms up
positive,"Gold futures up on global cues, spot demand"
negative,Gold futures mark lowest settlement since Feb. 1
none,new rules for gold investing may open the market to 1.6 billion muslims
negative,gold futures rebound as dollar drops
negative,"gold edges lower, but n.korea worries lend support"
negative,"gold tumbles to 9-month low at rs 8,520 
"
negative,"April gold down $2.50, or 0.2%, to settle at $1,247.20/oz"
negative,Gold may trade with negative bias: Angel Commodities
none,world gold council : global gold demand dips 7% but jewellery demand up
none,web music companies seeks gold in oldies
neutral,gold to trade in 28249-28697 range: achiievers equities
none,gold correction may be mostly done: deutsche bank
positive,"Dec. gold climbs $10.50, or 0.8%, to $1,292.20/oz ahead of settlement"
negative,"August gold trades at $1,222.30/oz, after $1,221.70 settlement before Fed minutes"
positive,Gold futures edge up in electronic trade as Fed offers few clues on next move
positive,Gold may test Rs 29500 on higher end: Nirmal Bang
negative,"December gold trades 1.9% lower at $1,292.50/oz., on track for worst daily loss since July 3"
positive,gold at 1-week high as trump remarks on fed weigh on dollar
positive,gold futures close higher as the dollar weakens
negative,"April gold falls $10.10, or 0.8%, to settle at $1,225.80/oz"
negative,"Dec. gold falls $4.40, or 0.3%, to settle at $1,312.70/oz"
positive,"gold climbs to highest since jan, ignoring dollar"
negative,"dec. gold settles at $1,124.60/oz on comex, down $13.70, or 1.2%"
negative,"gold futures close lower, lose over $19 in three days"
none,inflation expectations play on gold in 2018
positive,Gold prices move 2.5% higher for the week
positive,gold futures logs biggest one-day gain of the year
positive,"Gold futures up at Rs Rs 31,220 per 10 gm"
positive,India gold edges higher but strong rupee limits upside
positive,gold futures up $14.60 at $823.40 an ounce
positive,"Gold gives up gains, extends losing streak to a fifth session"
positive,"gold at 6-mth high ahead of ecb meeting, u.s. payrolls"
negative,"Dec. gold down $1.40, or 0.1%, to $1,271.80/oz"
none,wold bank chief supports uk proposal on imf gold
none,gold & silver imports dip 34% to $2.9 billion in july
negative,"Gold falls as stocks rise on U.S. data, earnings"
negative,"If gold dips to $1270-71/oz, buy"
negative,Gold falls in Asia as Fed minutes signal steady rates for now
negative,"gold slips on rising risk appetite, silver plunges over 1%"
none,gold contracts set record open interest: cme
positive,india gold extends gains to near peak; buying absent
positive,gold extends gains after u.s. inflation data disappoints
negative,"gold, silver fall on reduced offtake, global cues"
none,why gold has utterly failed as a 'safe haven'
neutral,Gold steadies after rate hike sell-off
negative,"June gold falls $3.40, or 0.3%, to settle at $1,253.90/oz"
negative,"December gold down 1.2% at $1,287/oz."
negative,"gold futures down $10.00 at $1,054.50 an ounce"
negative,"Gold settles a few cents lower, ends six-session streak of gains"
neutral,Gold futures trade nearly flat for the quarter
positive,"Gold climbs on global cues, silver recovers"
negative,Gold futures settle lower ahead of Fed announcement
positive,"Gold import rebounds, again"
positive,Gold settles modestly higher as stocks stage retreat
positive,Gold futures prices settle higher ahead of FOMC minutes
negative,"gold edges lower with gaza, ukraine worries in focus"
positive,"gold hovers near 2-week high amid steady dollar, weaker stocks"
positive,gold extends rally ahead of us data; eyes 1st weekly gain in five
positive,"dec gold closes at $436.20/oz, up $2.80 for the day"
none,gold prices end near $411 an ounce
none,zimbabwe : us$100 million gold centres on cards
none,newmont mining sees '06 gold sales 7.7m to 7.9m ounces
negative,mcx gold february contract trading lower
negative,MCX GOLD Dec contract slips marginally
negative,"Gold futures mark first fall in 3 sessions, but hold above $1,300 level"
negative,"Gold futures suffer a weekly loss of more than 6%, largest since 2013"
negative,Gold tilts slightly lower after ADP's private-employment report
positive,"gold, silver lose some steam but settle higher"
negative,"December gold off 0.2% at $1,320.60/oz."
positive,"gold for june delivery settles $3.20, or 0.3%, higher at $1,251.20/oz."
negative,gold languishes near 2-week low as eco recovery hopes weigh
none,these 3 charts show hedge funds losing faith in gold
positive,geopolitical risk highest 'in four decades' - gold demand in germany and globally to remain robust
positive,"December gold gains $5.40, or 0.4%, to settle at $1,346.70/oz."
positive,"spot gold quoted at $389.10, up 60 cents from new york"
positive,Gold futures up after Friday jobs report
positive,how high can gold go?
negative,"gold settles 2.6% lower, worst drop in three months"
positive,"gold, silver rebound on low-level buying; firm global cues"
none,"india gold discounts widest in nine months, activity muted elsewhere"
neutral,gold prices steady as sluggish inflation persists
positive,dec gold climbs $3.10 to $453.10/oz in afternoon dealings
positive,"gold not done yet, expert says sept to bring all-time high"
positive,"August gold rises 1.1% at $1,263.30/oz."
positive,mcx goldm march contract gains
positive,acacia profit jumps on gold boost; lifts dividend
negative,"gold settles 5.6% lower at $1,757.30 an ounce"
none,charts : gold breaks the 200 sma but faces further resistance above
positive,spot gold quoted at $465.10 in asia trade
positive,gold trades higher on soft dollar; likely to remain volatile in near term
negative,"gold down slightly in early asia as investors eye china, fed"
none,mark mobius loves diamonds but not gold
positive,gold futures climb past $700 an ounce
none,"gold lags equities, still long-term favourite"
none,incrementum ag : now is the time to buy gold as negative sentiment is exhausted
neutral,Gold holds overnight gains as Fed keeps interest rates steady
positive,"Gold eases off near 2-year high, silver crosses $21/oz"
positive,"gold settles 0.8% higher at $1,711.50 an ounce"
negative,gold kist q3 loss 14c vs. profit 87c
positive,"Gold rises to Rs 30,550 on firm global cues, jewellers' buying"
positive,Gold prices extend rebound to a second-straight session
positive,gold up on fed caution over rates; higher equities cap gains
neutral,gold prices mostly steady in asia with chinese new year demand eyed
positive,"april gold trades near session's high, up $5.40 at $577/oz"
none,most gold bugs confident
negative,"Gold falls below $1,300 an ounce ahead of Comex settlement"
positive,"feb. gold up $2.80 at $647.50/oz, recovers from $640.80 low"
negative,Gold futures finish lower for a fifth straight session
positive,asian shares mostly higher; gold mining plays rally
positive,"Gold Rate Today: Gold, silver up in morning trade"
positive,Gold prices rebound slightly in Asia on physical demand prospects
positive,Gold prices eke out 3rd gain in a row
negative,front-month gold futures down $9.20 at $545.30/ounce
positive,gold inches up on weak dollar with eyes on ecb
none,"Gold prices ease in Asia as dollar mostly steady, holiday demand eyed"
positive,gold prices end higher for seventh session
negative,"Gold finishes lower as stocks rally, dollar strengthens"
negative,"gold futures maintain losses after u.s. cpi, jobless claims data"
none,"can make money on gold at these levels also: kishore narne, anand rathi commodities"
positive,august gold up $2.20 at $569/oz in afternoon dealings
none,e-series investors can redeem gold
positive,august gold last up $3.90 to $682/oz in morning trading
negative,gold ends losing streak as price dip lures buyers
none,gold breaks on cue - is rebound coming?
positive,"august gold trades at $1,304/oz, after $1,301.30 comex settlement"
positive,Gold prices continue gains in Asia from overnight
positive,"spot gold bid at $407.10 an ounce, up 60c - kitco"
none,Post offices offer discount on gold coins sale
positive,comex gold adds to gains after sentiment data
none,Gold still holds sway in household savings
negative,gold and other metals end with sharp losses
none,"MCX-gold (<U+20B9>28,500): BUY"
none,berma gold gets $60m bridge loan for kupol development
positive,"june gold up $8, or 1.2%, to close at $676.50/oz"
positive,Gold climbs to 12-week high
positive,"Gold rises after U.S. inflation, retail sales data"
none,"hold on to that gold, it could glitter for some more time"
negative,august gold ends down $5.50 to $923.30 an ounce on nymex
negative,"gold closes 0.4% lower at $1,774.30 an ounce"
positive,"gold to break 1200 finally, head towards 1172 fibonacci level"
negative,"Gold futures down at Rs 31,280 on weak global cues"
negative,Gold futures marks lowest settlement since July 28
negative,"spot gold quoted at $404.50, down 40c from new york"
positive,super bullish gold and silver setup does not bode well for the dollar...
negative,gold prices: mcx goldm july contract slips
negative,Gold marks fresh September low as dollar gains
negative,gold drops to 4-month low ahead of u.s. gdp report
positive,"gold edges up as stocks retreat, oil struggles"
negative,forward gold sales suggest fears prices may fall
none,Gold / Silver / Copper futures - weekly outlook: September 21 - 25
none,"reducing import of gold not a solution to high cad: dk joshi, crisil"
negative,Gold slips as Ukraine crisis abates on soothing Putin comments
negative,gold sheds 3% for october but still underpinned by election jitters
negative,"gold, silver extend losses on global cues"
positive,dhanteras has a silver lining: high cost of gold makes silver people's favourite this year
negative,Gold edges lower as dollar holds firm
positive,"August gold up 0.3% at $1,224.90/oz."
negative,"gold futures down $2.80 at $1,055.80 an ounce"
none,gold etf continues to shine
positive,"gold, silver rally on renewed fears of inflation"
negative,"gold, silver slip over 0.50%, prices to stay range bound"
none,gold bugs rampant
neutral,gold to trade in 29422-29722 range: achiievers equities
none,free : interactive gold charts here ...
negative,gold futures fall as much as $17 in morning trading
positive,"Gold ends slightly higher North Korea threat, but posts weekly decline"
positive,Gold prices gain in Asia with support from Ukraine tensions
negative,Gold prices settle lower ahead of Fed Beige Book release
negative,august gold down $12.10 to $921.50 an ounce on nymex
negative,Gold futures settle with a loss of 1.5% for the week
none,trend shifts coming for stocks and gold?
negative,"August gold off 1.6% at $1,255.60/oz."
negative,"Gold slips to Rs 32,000; silver reclaims Rs 41K-mark"
negative,"amex gold bugs index ends at 2-mo low of 218.6, down 3%"
negative,Gold futures settle at lowest level since late July
neutral,Gold steady as Fed caution on global economy pressures dollar
none,soros gold sale signals end to bull run
negative,"Gold slips as US rate rise hopes, easing global tensions weigh"
positive,"Hecla Mining estimates Q2 gold price $1,235/oz-$1,265/oz; gold futures up 0.2% at $1,249.60/oz"
positive,gold prices edge higher in asia as market eyes greece debt talks
negative,"Gold futures drop $4.90, or 0.4%, to $1,285.10 an ounce"
negative,"Gold trades $6.40, or 0.6%, lower at $1,166/oz. after consumer-sentiment survey"
negative,Gold settles lower for a third session ahead of the Fed policy update
none,gold etfs get lukewarm response
negative,gold may lose its sheen in 2018; here's why
none,"trading strategies for gold, natural gas, nickel by experts"
none,investors in gold equity funds miss yellow metal rally
negative,"gold tumbles on weak futures trend, firm rupee"
negative,amex gold bugs index falls 2.2% to close at 237.49
positive,Gold extends rally as dollar steadies
negative,Gold prices finish lower for a third session in a row
negative,"gold futures, metals indexes fall back"
positive,Gold adds to early gain after Empire State
positive,"aug. gold up $4, or 0.3%, to settle at $1,177.60/oz on comex"
none,gold and bonds agree
positive,gold futures edge higher in early dealings
positive,gold holds ground at two-week high
positive,Gold notches highest finish in more than 3 months
positive,"gold, silver gain amid north korea concerns"
none,blockchain & the gold standard for a conflict-free supply chain
positive,gold rises 1% on renewed safe-haven buying
positive,"Gold rises to Rs 30,770; silver reclaims Rs 46,000 mark"
negative,"bullionvault : 'politics driving' gold spike but 'glass half full' stock rebound sinks price $15, gld shrinks"
none,russian cenbank official: gold holdings support national security
none,Higher MSP to drive 25% surge in gold demand: Report
positive,"june gold ends at $1,423.70/oz, up $14.90, or 1.1%"
none,goldcorp offers $8.6 billion in stock for glamis gold
negative,gold closes lower as dollar rises
negative,"gold futures down $4.90 at $1,788.70 an ounce"
none,gold / silver / copper futures - weekly outlook: august 21 - 25
negative,gold extends slide to close lower a second day
none,"Akshaya Tritiya 2018: There are golden opportunities beyond just gold, say experts"
positive,Gold prices edge up as easing trade concerns hurt dollar
negative,"gold continues to slide on weak demand, silver gains"
none,mitsubishi : rising inflation could impact gold investors two different ways
positive,gold rates gain in major metros in india
negative,Gold pares loss after GDP reading
positive,Gold edges up on steady demand; Fed rate hike speculation weighs
negative,"August gold settles at $1,242.30/oz, down $3.50, or 0.3%, for the session"
positive,"gold futures add to gains, up $6.30 at $1,060.3/oz"
positive,"gold futures settle higher, under $1,720"
negative,"silver falls to rs 51850 on heavy sell-off, gold down by rs 270"
none,"u.s. stocks not looking for synergy with gold, other assets"
negative,dollar : surging dollar and sinking gold weighing on investors' minds
positive,gold prices could soar if donald trump says any one of these five things
positive,"gold futures hit fresh peak of rs 29,186 on global cues"
negative,gold dips on firm dollar amid hopes for easing u.s.-n.korea tensions
none,Bright side to India's gold fetish
positive,"gold settles at 1-week high of $1,200 as trump comments hurt the dollar"
positive,Gold soars to highest since March 2014 amid flight to safety
positive,Gold ends higher as global stock markets pull back
positive,feb. gold retreats from a one-month high as dollar gains
positive,iran's gold demand set for spurt before trump sanctions bite
positive,august gold ends up $8.70 at $659.0 an ounce on nymex
positive,"gold could hit record highs above $1,600: gfms"
positive,"more upside seen in gold prices, every dip could be opportunity to go long in silver"
none,festive offer: post offices in delhi to give 7% discount on gold coins
positive,"Gold holds gain after economic reports on sales, inflation"
positive,mcx goldpetal february contract gains
positive,gold gains $15 to end at three-month high
neutral,Gold hovers near 1-year high on safe haven demand
none,degussa market report : mr buffett on gold - viewed differently
positive,"Gold hits one-week high on dollar weakness, geopolitical tensions"
positive,"gold prices, company shares gain"
negative,Gold prices turn lower amid profit-taking
positive,"gold climbs by rs 250, silver firms up"
positive,Gold climbs Rs 130 on festive demand
none,"buy gold, silver & crude: emkay commodities"
positive,gold at fresh 18-year high on inflation worries
negative,gold off over $30 as commodities pressure builds
none,Rising gold dore imports to India to dent bank's market share
negative,"june gold slips $2.10, or 0.2%, to settle at $1,209.80/oz"
negative,"August gold down $3.20, or 0.3%, to settle at $1,243.50/oz"
none,gold is doing something it hasn't done in nearly 30 years
positive,gold settles at highest level in more than 5 weeks
negative,"gold slips from record highs on weak demand, global cues"
none,"time to look at gold, silver, miners and etfs?"
positive,Gold futures mark highest finish in about 2 months
positive,"Dec. gold settles at $1,278.90/oz, up $4.70, or 0.4%"
negative,"Gold softens to Rs 32,285; silver down by Rs 100 per kg"
negative,Gold prices to trade lower: Angel Commodities
negative,gold futures end lower; lose over $42 on the week
negative,"Commodity Outlook: Gold shrugs off US rate hike, eyes Rs 30,700"
positive,gold futures close near $900 as oil prices surge
positive,feb gold climbs $8.90 to $531.60/oz after $534.30 high
positive,"Gold gains amid N. Korea tensions, but heads for 2nd weekly decline"
positive,"Gold rebounds to Rs 32,250 on global cues, festive season buying"
positive,Gold futures rally to 7-week high on delayed Fed rate hike outlook
none,sell oct gold contract near rs 31480/10 gms: angel broking
negative,Gold ends lower as dollar rallies after ECB decision
positive,gold rates trading firm in major metros in india
none,Gold demand in India falls 39% to 204 tonnes in June quarter: WGC
positive,gold rises on day but notches worst month since december
positive,"Gold prices recover from 3-week lows, gains checked"
none,gold's front-month contract tap $500 for 1st time since 1987
neutral,"gold futures hold steady, eyes on u.s. data"
positive,"stocks slide on borrowing cost fears, gold jumps"
negative,"gold extends losses; silver dips below rs 41,000-mark"
negative,"gold dips on firming u.s. factory data, boj stimulus"
positive,"Gold hits over 1-month high of Rs 29,250"
positive,Gold benefits; other commodities and equity markets collapse
none,key themes in gold supply and demand in 2011
negative,"gold futures continue lower, but off the session's low"
negative,Gold falls to lowest settlement in more than 2 weeks
positive,gold futures move up after earlier weakness
none,gold / silver / copper futures - weekly outlook: december 19 - 23
negative,"gold edges lower, but holds above $670"
negative,"Gold down modestly, but holds above $1,300 on Iraq turmoil"
none,p chidambaram rules out lifting ban on import of gold coins
none,yamana gold upgraded to outperform from sector perform at rbc capital
negative,"philadelphia gold/silver index closes at 140.44, down 1.5%"
positive,"spot gold bid at $414.20 an ounce, up $2.10 - kitco"
positive,"Gold gets a boost from weaker dollar, holds gains after Fed minutes"
none,miners end south africa gold strike with wage deal
none,randgold q2 gold production up 97% vs. year-ago
negative,"gold fails to hold above key $1,300 level, posts daily, weekly losses"
none,"Gold, oil futures waver on hawkish Yellen remarks"
negative,Gold prices end lower after back-to-back gains
none,ig / sharps pixley : what is the future of gold?
positive,"dollar decline lifts gold futures, shares"
none,bnp paribas trims 2013 gold forecast
none,platinum may outshine gold by year-end
negative,Gold no longer holds glitter for investors
positive,Gold holds firm gain after solid jobless-claims report
none,venezuela to offer gold ingot certificates as inflation skyrockets
negative,"Gold dips on stronger dollar, growth outlook"
none,"agrm expresses concern at 'huge pricing disadvantage' faced by gold refineries, bullion importing banks"
negative,"gold set for worst may in 30 years, markets edge up"
none,Gold Rates: Prices in major cities in India
positive,gold logs highest close in 3 months
positive,"gold, silver rise as euro gained after macron win in france"
none,80% dip in gold imports linked to rampant smuggling
positive,Gold holds sharp gain after data
positive,Gold futures settle at a nearly three-week high
negative,"Gold futures fall to Rs 29,779 per 10 gm"
negative,gold edges lower ahead of bank of england rate decision
negative,Gold futures mark first quarterly loss of the year
negative,"Gold lower ahead of Comex settlement, reversing from earlier gains"
negative,"June gold down 0.2% at $1,254/oz."
positive,gold futures rally on weaker dollar
negative,gold futures fall to near a two-week low
positive,"cboe gold index taps high of 96.14, highest since 1997"
positive,"gold jumps 0.3% from settlement price after fed minutes to $1,237.40 an ounce"
negative,mcx goldpetal november contract slips
positive,june gold up $1.70 at $679.70/oz in last half hr of ny trade
negative,gold futures weaken on profit-booking
negative,"Gold logs biggest one-day loss of the month, but holds above $1,200"
negative,"gold eases, silver slumps"
positive,"gold, silver up on safe-haven demand"
positive,Gold logs second straight gain as U.S. ISM data disappoint
negative,"April gold settles at $1,202.60/oz, down 50 cents, or less than 0.1%"
positive,Gold shines ahead of US jobs data; poised for weekly gain
positive,gold futures close at a two-week high
negative,"gold futures fall on global cues, poor demand"
positive,Gold holds steady as Sept Fed rate hike views cool; equities rise
negative,"Dec. gold down $4.70, or 0.4%, at $1,325.70/oz"
positive,SPDR Gold Trust surges 2.2% in premarket trade
